12345,12345
12347,12347
12348,12348
12345,12349
12346,12350
12347,12351
12348,12352
12349,12353
12350,12354
12349,12304
12350,30948
12351,86030
12352,9380
12348,11111
12349,400000
12350,400001
12351,400002
12352,400003
12353,400004
12354,400005
12345,400006
12346,400007
12347,400008
12348,400009
12349,400010
12350,400011
12351,400012
12352,400013
12353,400014
12354,400015
12345,400016
12346,400017
12347,400018
12348,400019
12349,400020
12350,400021
12351,400022
12352,400023
12353,400024
12354,400025
12345,400026
12346,400027
12347,400028
12348,400029
12349,400030
12350,400031
12351,400032
12352,400033
12353,400034
12354,400035
12345,400036
12346,400037
12347,400038
12348,400039
12349,400040
12350,400041
12351,400042
12352,400043
12353,400044
12354,400045
12345,400046
12346,400047
12347,400048
12348,400049
12349,400050
12350,400051
12351,400052
12352,400053
12353,400054
12354,400055
12345,400056
12346,400057
12347,400058
12348,400059
12349,400060
12350,400061
12351,400062
12352,400063
12353,400064
12354,400065
12345,400066
12346,400067
12347,400068
12348,400069
12353,400070
12354,400071
12345,400072
12346,400073
12347,400074
12348,400075
12349,400076
12350,400077
12351,400078
12352,400079
12353,400080
12354,400081
12351,400082
12352,400083
12353,400084
12354,400085
12349,400086
12350,400087
12351,400088
12352,400089
12353,400090
12354,400091
12349,400092
12350,400093
12351,400094
12352,400095
12353,400096
12354,400097
12345,400098
12354,400099
12345,12346
12348,23421
12349,32423
12349,43543
12350,45435
12350,46234
12351,73456
12351,40587
12352,45084
12352,40493
12353,95840
12354,49582
12354,49583
12348,43948
12354,34255
12354,85356
12354,49854
12354,45840
12354,40582
12354,43058
12354,34589
12354,34590
12354,34591
12354,34592
12354,34593
12354,34594
12354,34595
12354,34596
12354,34597
12354,34598
12354,34599
12354,34600
12354,34601
12354,34602
12354,34603
12354,34604
12354,34605
12354,34606
12345,48930
