12345,Bob’s Cleaning,Bob M Clean President of Bobs Carpet Care Inc is proud to have served Fort Lee and Bergen County since 1976. Bob’s Carpet Care Inc is a carpet cleaning service and restoration company who is serious about providing clients with the very best carpet rug upholstery hardwood stone cleaning and restoration services possible. In short we take care of your home’s floors and interior.,General cleaning and housekeeping,2040204040,BobsCleaning@gmail.com
12346,Fort Lee Carpenters,Fort Lee Carpenters Inc. is a family-owned & Operated company specializing in High End Custom Woodwork Custom Cabinets and Full Kitchen Remodeling. We have over 45 years of experience in the Carpentry field. We have what it takes from the craftsmanship talent and abilities to the desire in our hearts to provide you with not just high quality work but also with beautiful artistic woodwork. We pay strong attention to details and will meet all of your needs and imaginations., Repair and restoration of wooden pieces,4895039493,FortLeeCarpenters@gmail.com
12347,Sally’s Plumbing,Sally's has been providing home plumbing service for the past 40 years. We offer licensed aqua-electrical work masonry waterproofing professional plumbing services and more.,Plumbing problems? Call us!,5930593059,SallysPlumbing@gmail.com
12348,Moving and Storage Inc,This fast moving company offers flat rate moving quote that covers men truck pickup and delivery 24/7 at no hidden cost. These affordable movers also provide hourly moving quality services.,We make moving your stuff easy as cake!,5930503050,MovingandStorageInc@gmail.com
12349,PTL Catering,We specialize in full-service catering and staffing. Our name is derived from three guiding principles: the POWER of a strong work ethic living TRUTHfully and finding satisfaction in work produced with heart and LOVE. We are an events company based in New York City with offices in Los Angeles Miami and London. We provide sumptuous cuisine amazing staff and outstanding professionalism to make any event a resounding success. We serve and meet the needs of some of the most renowned brands in the world. These events range from full-scale fashion markets to more intimate celebrations in homes and offices.,Gourmet foods for special events.,6984069494,FineCatering@gmail.com
12350,Air Conditioners R Us,Air Conditioners R Us is an honest and reputable company specializing in the air duct cleaning and conditioner installation business. We always stand behind the jobs we do and guarantee the best quality results for each project. Our prices are very competitive and detailed pricing is always disclosed upfront. Air Conditioners R Us is a member of NADCA (National Air Duct Cleaners Association) has an A rating with BBB and has won multiple Super Service Awards with Angie's List. We prove the cleaning results with a duct camera.,Repair \, cleaning and installation of air conditioners and heaters.,4785878596,AirConditionersRUs@gmail.com
12351,Mister Sparky’s Electricians,Mister Sparky’s is a fully-licensed company providing a wide range of residential commercial industrial and maintenance electrical services. We offer fast and high quality service at affordable rates. We at Sparky’s pride ourselves in having many years of proven experience. We have handled numerous electrical projects and worked collaboratively with prominent contractors throughout New Jersey so you can rest assured that you will get nothing but incomparable professionalism regardless of your projects scope.,Quality electricians.,2012012011,MisterSparkysElectricians@gmail.com
12352,Jimmy’s Appliance Repair,Whether your home is full of every appliance known to man or if you choose to use the basic units needed to make your home function smoothly; we will service them all better than the competition. At Appliance Repair Fort Lee we take on all tasks no matter how small or how large. Our friendly specialists have the necessary factory training to provide superb installation maintenance and appliance repair in Fort Lee NJ. You can contact us to provide helpful solutions to problems on any brand of residential appliance.,Broken stove? Faulty refrigerator? If it’s broken we can fix it.,5830593950,JimmysApplianceRepair@gmail.com
12353,Turbo Tech Nerds,With over 10 years experience in the computer repair support and home audio/video industry you can rely on the experts at Turbo Tech Nerds to get your job done right! We provide a full range of support for computer and laptop repair solutions in New Jersey and New York. We are a team of ISF Certified technicians providing home theater installations. We offer competitively priced on-site support calls and are a team of knowledgeable and professional home theater installers. Call and speak to a staff member today!,Technology is becoming complicated these days. We’ll deal with the hard part so that you don’t have to.,4924049304,ElectronicsInstallationInc@gmail.com
12354,Lisa’s Carpet Cleaners,Trying to find a reliable carpet cleaning company? End your search by hiring Lisa's Carpet Cleaners. We have professional carpet cleaners who do their job right.,Deep carpet steaming.,4325423544,LisasCarpetCleaners@gmail.com
84029,Sam the Handyman,With over twenty years of experience you are in great hands when working with Sam the Handyman LLC. We are your one stop shop for all of your home improvement needs! We handle a variety of handyman projects so call us today!,Handyman for assorted needs and repairs,40234029040,samtheman@hotmail.com
