227,22,12345
156,15,12346
234,23,12347
75,7,12348
69,6,12349
67,6,12350
74,7,12351
148,14,12352
51,5,12353
191,19,12354
61,6,12345
243,24,12346
142,14,12347
51,5,12348
95,9,12349
198,19,12350
194,19,12351
209,20,12352
201,20,12353
171,17,12354
122,12,12345
241,24,12346
129,12,12347
187,18,12348
102,10,12349
111,11,12350
137,13,12351
68,6,12352
75,7,12353
131,13,12354
133,13,12345
128,12,12346
233,23,12347
118,11,12348
179,17,12349
141,14,12350
117,11,12351
92,9,12352
52,5,12353
58,5,12354
84,8,12345
83,8,12346
145,14,12347
141,14,12348
206,20,12349
155,15,12350
141,14,12351
166,16,12352
172,17,12353
59,5,12354
98,9,12345
143,14,12346
68,6,12347
76,7,12348
162,16,12349
171,17,12350
119,11,12351
172,17,12352
174,17,12353
158,15,12354
149,14,12345
173,17,12346
95,9,12347
109,10,12348
236,23,12349
235,23,12350
176,17,12351
171,17,12352
56,5,12353
208,20,12354
97,9,12345
166,16,12346
67,6,12347
195,19,12348
82,8,12349
223,22,12350
162,16,12351
95,9,12352
136,13,12353
124,12,12354
215,21,12345
231,23,12346
126,12,12347
56,5,12348
97,9,12349
184,18,12350
172,17,12351
125,12,12352
86,8,12353
79,7,12354
1A,1,12345
2B,2,12346
3C,3,12347
4D,4,12348
5B,5,12349
6A,6,12350
7J,7,12351
8C,8,12352
9E,9,12353
10A,10,12354
